Timestamp,Action,Audit Date,Item,Field,Old Value,New Value,Change
"6/5/2025, 8:21:57 PM",update,"6/5/2025",Monitor,overallTotal,0,4,"📈 +4"
"6/5/2025, 8:21:57 PM",update,"6/5/2025",Monitor,total,0,4,"📈 +4"
"6/5/2025, 8:21:57 PM",update,"6/5/2025",Monitor,do,0,2,"📈 +2"
"6/5/2025, 8:21:57 PM",update,"6/5/2025",CPU,overallTotal,0,5,"📈 +5"
"6/5/2025, 8:21:57 PM",update,"6/5/2025",CPU,total,0,5,"📈 +5"
"6/5/2025, 8:21:57 PM",update,"6/5/2025",CPU,do,0,2,"📈 +2"
"6/5/2025, 8:21:57 PM",update,"6/5/2025",CPU,overallTotal,0,5,"📈 +5"
"6/5/2025, 8:21:57 PM",update,"6/5/2025",CPU,total,0,5,"📈 +5"
"6/5/2025, 8:21:57 PM",update,"6/5/2025",CPU,hr,0,2,"📈 +2"
"6/5/2025, 8:21:57 PM",update,"6/5/2025",CPU,overallTotal,0,5,"📈 +5"
"6/5/2025, 8:21:57 PM",update,"6/5/2025",CPU,total,0,5,"📈 +5"
"6/5/2025, 8:21:57 PM",update,"6/5/2025",CPU,secondprod,0,1,"📈 +1"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Mouse,overallTotal,0,24,"📈 +24"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Mouse,total,0,12,"📈 +12"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Mouse,stock,0,12,"📈 +12"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Mouse,overallTotal,0,24,"📈 +24"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Mouse,total,0,12,"📈 +12"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Mouse,workforcesecondprod,0,12,"📈 +12"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Keyboard,overallTotal,0,12,"📈 +12"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Keyboard,total,0,12,"📈 +12"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Keyboard,do,0,12,"📈 +12"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Monitor,overallTotal,0,61,"📈 +61"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Monitor,total,0,46,"📈 +46"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Monitor,defectives,0,3,"📈 +3"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Monitor,overallTotal,0,61,"📈 +61"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Monitor,total,0,46,"📈 +46"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Monitor,stock,0,12,"📈 +12"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Monitor,overallTotal,0,61,"📈 +61"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Monitor,total,0,46,"📈 +46"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Monitor,do,0,23,"📈 +23"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Monitor,overallTotal,0,61,"📈 +61"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Monitor,total,0,46,"📈 +46"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",Monitor,hr,0,23,"📈 +23"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",CPU,overallTotal,0,12,"📈 +12"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",CPU,total,0,12,"📈 +12"
"6/4/2025, 2:15:12 AM",update,"6/4/2025",CPU,secondprod,0,12,"📈 +12"
"6/4/2025, 2:14:31 AM",delete,"6/22/2025",,,-,-,"➕ Added"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",Headset,overallTotal,0,2,"📈 +2"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",Headset,defectives,0,2,"📈 +2"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",Mouse,overallTotal,0,12,"📈 +12"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",Mouse,defectives,0,12,"📈 +12"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",Keyboard,overallTotal,2,26,"📈 +24"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",Keyboard,total,0,12,"📈 +12"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",Keyboard,stock,0,12,"📈 +12"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",Keyboard,overallTotal,2,26,"📈 +24"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",Keyboard,total,0,12,"📈 +12"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",Keyboard,do,0,12,"📈 +12"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",CPU,overallTotal,5,39,"📈 +34"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",CPU,total,2,36,"📈 +34"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",CPU,do,1,12,"📈 +11"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",CPU,overallTotal,5,39,"📈 +34"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",CPU,total,2,36,"📈 +34"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",CPU,hr,1,12,"📈 +11"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",CPU,overallTotal,5,39,"📈 +34"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",CPU,total,2,36,"📈 +34"
"6/4/2025, 2:13:32 AM",update,"6/22/2025",CPU,secondprod,0,12,"📈 +12"
"6/4/2025, 12:14:35 AM",delete,"6/3/2025",,,-,-,"➕ Added"
"6/4/2025, 12:12:08 AM",update,"6/3/2025",CPU,overallTotal,4,468,4,480,"📈 +12"
"6/4/2025, 12:12:08 AM",update,"6/3/2025",CPU,total,4,468,4,480,"📈 +12"
"6/4/2025, 12:12:08 AM",update,"6/3/2025",CPU,do,0,12,"📈 +12"
